# x |x| K_N count nontrivial_mass_2^-64 min_program
0000000001100110110 19 19 48871 19676872572928 0000000001001001100110110
0000000001100111010 19 19 48767 19668450410496 0000000001001001100111010
0000000001011011010 19 19 48672 19660548341760 0000000001001001011011010
0000011100001101110 19 19 40852 19630550679552 000001000110000110110110
0000000001111101110 19 19 36379 19619679043584 00000100000011100111010
0000000001111011110 19 19 36229 19603304480768 00000100000011100110110
0000010111011000110 19 19 39069 19518613094400 000001010001101011000110
0000010101101010110 19 19 42946 19499403182080 0000010010010101101010110
0000011100101101010 19 19 42941 19498396549120 0000010010011100101101010
00010110000010000010 20 20 57433 19495477313536 00010001011101010000010
0000010110011010110 19 19 42813 19488212779008 0000010010010110011010110
0000011100110011010 19 19 42811 19486803492864 0000010010011100110011010
0001011010000110110 19 19 41535 19435716870144 0001000101101000011011010
0000000000011110110 19 19 45424 19273950953472 000000000100001100111010
0000000000011101110 19 19 44974 19151074623488 000000000100001100110110
0001011000011011010 19 19 40502 18933625126912 0001000101100001101101010
0000000111000001110 19 19 44526 18799323512832 0000000100100111000001110
0001100110000110110 19 19 38864 18463493980160 0001000110011000011011010
0000000001111000110 19 19 43369 18412289916928 0000000001001001111000110
0001011010000111010 19 19 37821 18376822882304 0001000101101000011101010
0001100001110011010 19 19 37609 17837301170176 0001000110000111001101010
0001100001011010110 19 19 37125 17723971076096 0001000110000101101011010
0001100001100111010 19 19 36901 17718703030272 0001000110000110011101010
0000010111001101010 19 19 37750 17686490775552 0000010010010111001101010
0000011001011010110 19 19 37726 17684813053952 0000010010011001011010110
0000011001110011010 19 19 37716 17683537985536 0000010010011001110011010
0000010101101011010 19 19 37731 17682313248768 0000010010010101101011010
00000000000000000010 20 20 71651 17679712780288 00000000000000000001001010
0000011000011101110 19 19 34937 17084155166720 000001100100001100110110
0000011000011110110 19 19 34878 17080111857664 000001100100001100111010
0000010110100111010 19 19 36041 17073149313024 0000010010010110100111010
0000010111010011010 19 19 36046 17073082204160 0000010010010111010011010
0000010110100110110 19 19 35996 17070968274944 0000010010010110100110110
0000010110110011010 19 19 35997 17070146191360 0000010010010110110011010
0000010110001110110 19 19 36300 16995588243456 0000010001011100011010110
0000011100110001110 19 19 36299 16994078294016 0000010001100111000110110
0001100000011110110 19 19 33962 16907776294912 000110000100001100111010
00000001011000100010 20 20 62036 16846120026112 0000000100010111010100010
0001100001100110110 19 19 34887 16809998680064 0001000110000110011011010
0000010101110101010 19 19 35505 16784799301632 0000010010010101110101010
0001100001011101010 19 19 34607 16782970585088 0001000110000101110101010
0000011001100110110 19 19 35425 16779262820352 0000010010011001100110110
0000011001100111010 19 19 35407 16779111825408 0000010010011001100111010
0001100001011011010 19 19 34532 16775907377152 0001000110000101101101010
0000011001011101010 19 19 35339 16772098949120 0000010010011001011101010
