# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
0000010111011010 16 16 272947 134107979841536 000001010001101011010 16 0 0 2106253881442030230807492552381902 2106253881442030230807492552487689 142746705659940946937718608744803 142746705659940946937718609017750 000001010001101011010
0000011001110110 16 16 272269 134015948423168 000001100100011010110 16 0 0 2105974037590196939098441262701097 2105974037590196939098441262806278 142668581213104758807502213071883 142668581213104758807502213344152 000001100100011010110
0000000110001110 16 16 317261 126757277532160 0000000100100110001110 16 0 0 2005829164638792663271894379362712 2005829164638792663271894379472226 135100200768805622386343496491911 135100200768805622386343496809171 0000000100100110001110
0000000001111010 16 16 321445 125980576317440 0000000001001001111010 16 0 0 1978606197754565386472648976862268 1978606197754565386472648976973261 134063151371241135623389532660023 134063151371241135623389532981467 0000000001001001111010
0000000001101110 16 16 316413 124174483849216 0000000001001001101110 16 0 0 1969378697422152298418505658901904 1969378697422152298418505659008065 132383241731969724021630227724615 132383241731969724021630228041028 0000000001001001101110
0001100000001110 16 16 296183 124118590554112 0001000110000000111010 16 0 0 1962488522313520993317892724321850 1962488522313520993317892724421242 132267716577672314110023283384460 132267716577672314110023283680643 0001000110000000111010
0000000111000110 16 16 298025 119643796668416 0000000100100111000110 16 0 0 1900729349900529382357266055417888 1900729349900529382357266055519751 127551601550365946207738330069925 127551601550365946207738330367949 0000000100100111000110
0000010110110110 16 16 207516 105546103390208 0000010001011101010110 16 0 0 1692578895922778137501279754824753 1692578895922778137501279754903299 112649070010426584243263601728061 112649070010426584243263601935577 0000010001011101010110
0000011100111010 16 16 206921 105481611771904 0000010001100110110110 16 0 0 1692313543256221238993227627570343 1692313543256221238993227627648338 112591204347883278142232212515698 112591204347883278142232212722618 0000010001100110110110
0000010111010110 16 16 206101 105366335520768 0000010001011011010110 16 0 0 1691696828919927388379210830745919 1691696828919927388379210830823331 112482654091663855778344006179303 112482654091663855778344006385403 0000010001011011010110
0000011100110110 16 16 206110 105362443206656 0000010001100111010110 16 0 0 1691684809008279459247451655273134 1691684809008279459247451655350539 112479407645825832772308584629910 112479407645825832772308584836020 0000010001100111010110
00000000000000110 17 17 434393 104313791709184 00000000000000010010110 17 0 0 1564501765930863677102462952845200 1564501765930863677102462953028079 104409778828448439473042242373779 104409778828448439473042242808170 00000000000000010010110
00000101110110110 17 17 231197 102861069352960 000001000101101010110 17 0 0 1570514448562707888565210414875935 1570514448562707888565210414981336 103143934057340431175667496101920 103143934057340431175667496333113 000001000101101010110
00000111001110110 17 17 229165 102634123952128 000001000110011010110 17 0 0 1569596557539451120385443351100758 1569596557539451120385443351204414 102950928213336136029912379633020 102950928213336136029912379862183 000001000110011010110
00000111000000010 17 17 324055 91682360000512 00000100011000000010110 17 0 0 1409668122415356988482808902330356 1409668122415356988482808902465256 92095743295474158200366501325513 92095743295474158200366501649567 00000100011000000010110
00000001110000010 17 17 326649 90770384093184 00000001000110000010110 17 0 0 1394955738440101976987038840753035 1394955738440101976987038840886916 91166345953348909789924485284617 91166345953348909789924485611264 00000001000110000010110
00000000011100010 17 17 323801 89932613812224 00000000010001100010110 17 0 0 1381913746618052507908775586543008 1381913746618052507908775586673841 90315519816603391861791164496001 90315519816603391861791164819796 00000000010001100010110
00000000011000110 17 17 298755 86746704379904 00000000010001100011010 17 0 0 1337874692853347051324112293787617 1337874692853347051324112293910593 87126920951794261317635344968167 87126920951794261317635345266913 00000000010001100011010
00000110000000110 17 17 292029 85970808471552 00000100011000000011010 17 0 0 1318251126635335448591302850752527 1318251126635335448591302850870824 86298947489065950381388954584436 86298947489065950381388954876463 00000100011000000011010
00000001100000110 17 17 293830 85239246356480 00000001000110000011010 17 0 0 1317449184147142428334608420743846 1317449184147142428334608420860421 85655063534550707007769096126362 85655063534550707007769096420192 00000001000110000011010
00011000000000110 17 17 279509 84229559943168 00010001100000000011010 17 0 0 1287187276965046826878139811089835 1287187276965046826878139811205557 84503384215216244671416962019583 84503384215216244671416962299092 00010001100000000011010
00000000000011110 17 17 258432 81009768923136 00000000000001001011110 17 0 0 1252770783994150051591013086279818 1252770783994150051591013086385624 81400943834886121123161465832285 81400943834886121123161466090715 00000000000001001011110
00000000000111010 17 17 274913 80540090761216 00000000000100100111010 17 0 0 1254761468429321355763781680836971 1254761468429321355763781680946470 80990463261240182314047384489469 80990463261240182314047384764381 00000000000100100111010
